id;place_date;status;code
1;2021-04-22T06:44:10;COMPLETED;Electronics
2;2021-04-22T01:06:09;COMPLETED;payment PCI violet
3;2021-04-22T11:35:02;CANCELLED;background out-of-the-box withdrawal
4;2021-04-21T15:38:03;COMPLETED;Music real-time
5;2021-04-21T23:42:12;CANCELLED;Hat
6;2021-04-22T12:27:00;PENDING;solid navigating
7;2021-04-21T22:22:46;PENDING;Toys maroon
8;2021-04-22T11:12:20;COMPLETED;Developer
9;2021-04-21T18:40:44;COMPLETED;Credit Soft Cotton
10;2021-04-22T09:23:20;CANCELLED;contingency Bedfordshire
